Question,Label
"What does Creatives build an individual s interpersonal and public speaking skills?",Committee
What does Creatives use to create for Aaruush TV?,Committee
What sub domains does Creatives have?,Committee
What is the name of the committee that helps establish and maintain lines of communication between an organisation and its public?,Committee
"What does Deco & Arts help?",Committee
"What are the four sub-divisions Letters, Documentation, NGOs, Media?",Committee
"What is a committee that embodies new ideas, projects and initiatives which will create a difference?",Committee
Initiatives promises to bring out the innovative side of you in the pursuit of taking our fest to what?,Committee
What is the name of the committee that helps establish and maintain lines of communication between an organisation and its public?,Committee
What does Deco & Arts help?,Committee
What is the main purpose of Corporate Strategy & Implementation?,Committee
What is the full form of CSI?,Committee
who handles crowd management ?,Committee
who take cares of posters and banners?,Committee
Who brands aaruush in all aspects?,Committee
which committee handles social media for aaruush?,Committee
"who is responsible for in and off campus publicity, Strategising work plans and executing them.?",Committee
Which committe does roadshow planning and execution?,Committee
Which committee handles social campus ambassdor program?,Committee
which committees handles helpdesks?,Committee
"which committee looks after sales of workshops, highlights and events?",Committee
which committee handles crisis management?,Committee
who deals with the resources required for aaruush team?,Committee
which committee helps maintain proper workflow by ensuring proper permissions?,Committee
which committee works with CSI for crisis management?,Committee
which committe examines the accounts of aaruush?,Committee
which committee scrutinizes proposals for expenditure?,Committee
who proposes the annual budget of aaruush?,Committee
Does finance approves all the expenditure?,Committee
what are the basis of to fix limits for annual expenditure?,Committee
who ensures the quality of the fest?,Committee
what does quality assurance procedure consists of ?,Committee
who looks after accomodation of externa participants during the fest?,Committee
who haves corporate meetings with professional?,Committee
who brings sponsors for aaruush?,Committee
which committee implements marketing ideas?,Committee
which committee believes in deliver more than a drive by impression ?,Committee
Who takes care of guest lectures?,Committee
Who organizes aaruush nites?,Committee
who is responsible for proshows?,Committee
who takes care of all the personalities that become a part of this national level fest?,Committee
who organize unconference?,Committee
Aaruush live is a event organized by?,Committee
All necessities of the guests is taken care by which committee?,Committee
who takes care of transportation of guests?,Committee
which committee conducts workshops?,Committee
which committe conceptualizes and ideates on workshops?,Committee
who collaborated with big organization accross world to conduct workshops?,Committee
which committee organizes alot of challenges under one roof?,Committee
why should students participate in challenges and championship events?,Committee
"which committee organizes events like RC racing, robo-wars etc. ?",Committee
which committee organizes events to test the skills of participants?,Committee
which committee organizes events to test technical skills of participants by obeying certain specification?,Committee
which committee increases the reach of aaruush?,Committee
which committee publicise aaruush accross the country?,Committee
which committee decides to collaborate with other colleges to increase the reach of the fest?,Committee
which committee organizes events in other colleges on behalf of aaruush?,Committee
which committee increase the brand value of aaruush?,Committee
which committee boosts aaruush's nation wide promotion?,Committee
Which Domain is related to Planning?,Domain
Which Domain uses space and layouts?,Domain
Which domain is related to Architecture?,Domain
Which domain is efficient in enhancing designs?,Domain
Which domain uses Images or graphic forms?,Domain
I am interested in Digital design. Which domain should I opt for ?,Domain
Domain related to costume design?,Domain
Why are domains important?,Domain
Which domain is associated with words and communication design?,Domain
Why are domains important?,Domain
Are there technical domains?,Domain
Is machinisation a technical domain?,Domain
I am interested in Mechanical and automobile related stuff. Which domain should I choose?,Domain
Which domain focuses on solutions?,Domain
Which is a automobile based domain?,Domain
Which domain deals with electrical compartments?,Domain
"Any domain which delas with resistors, capacitors, and other electrical components?",Domain
Any domain which works with microprocessors?,Domain
I am interested in Embedded Systems? What should I join?,Domain
Integrated circuits interest me a lot. Which domain should I join?,Domain
Is there any domain related to aviation ?,Domain
Which domain is related to research of aviation technology?,Domain
Domain working aerodynamics of machines?,Domain
Domain focusing on online interactions and discussion sessions?,Domain
Which domain conducts online events?,Domain
Which domain conducts gaming events?,Domain
Domain related to photography?,Domain
Which domain conducts online poster and logo designing events?,Domain
I am interested in Business management. Which domian should I join?,Domain
What is a domain?,Domain
Why are domians important?,Domain
How many domains are there in Aaruush?,Domain
How will domains help me grow personally?,Domain
Will domains help me make new connections?,Domain
which domain focuses on innovations?,Domain
I like debates. Which domain should I join?,Domain
Which domain will help me improve my literary skills?,Domain
Why is presentatio important?,Domain
How will presentatio help me?,Domain
How is magefficie helpful to Aaruush?,Domain
How is online Domain helpful?,Domain
WHat is Vimanaz?,Domain
How is Vimanaz helpful?,Domain
What is the flagship event of Vimanaz?,Domain
What is the flagship event of Architecture?,Domain
What is the flagship event of Digital Design?,Domain
What is the flagship event of Machinization?,Domain
What is the flagship event of Electrize?,Domain
What is the flagship event of Bluebook?,Domain
How is bluebook helpful for Aaruuush?,Domain
Which Domain is related to bio-metrics and life sciences?,Domain
I like quizes. Which domain is for me?,Domain
Why is mageficcie importnat?,Domain
Which domain deals with management skills?,Domain
I am interested in entrepreneurship. What should I join?,Domain
What is robogyan?,Domain
Is robogyan related to robots?,Domain
I am interested in robotics. What should I join?,Domain
Who conducts robotics events?,Domain
What is Konstruction?,Domain
How Is Konstruction important for Aaruush?,Domain
Which domain deals with building CAD models ?,Domain
Which domain delas with civil architecture design?,Domain
What is fundaz?,Domain
"Which domains conduct events like puzzles, quizes etc? ",Domain
Which domain delas with entertainment activities?,Domain
What is X-Zone?,Domain
Which domain conducts brainstorming events?,Domain
Which domain conducts treasure hunts?,Domain
How do domains help in aaruush main days?,Domain
Which domain conducts rowing events?,Domain